Date	Industry	Amount
12/31/2015	Business Products and Services	56
12/31/2014	Business Products and Services	57
12/31/2013	Business Products and Services	58
12/31/2012	Business Products and Services	35
12/31/2011	Business Products and Services	51
12/31/2010	Business Products and Services	68
12/31/2009	Business Products and Services	67
12/31/2008	Business Products and Services	118
12/31/2007	Business Products and Services	106
12/31/2006	Business Products and Services	88
12/31/2005	Business Products and Services	71
12/31/2004	Business Products and Services	78
12/31/2003	Business Products and Services	96
12/31/2002	Business Products and Services	103
12/31/2001	Business Products and Services	177
12/31/2000	Business Products and Services	451
12/31/1999	Business Products and Services	278
12/31/2015	Consumer Products and Services	251
12/31/2014	Consumer Products and Services	219
12/31/2013	Consumer Products and Services	184
12/31/2012	Consumer Products and Services	184
12/31/2011	Consumer Products and Services	139
12/31/2010	Consumer Products and Services	109
12/31/2009	Consumer Products and Services	85
12/31/2008	Consumer Products and Services	100
12/31/2007	Consumer Products and Services	111
12/31/2006	Consumer Products and Services	77
12/31/2005	Consumer Products and Services	78
12/31/2004	Consumer Products and Services	66
12/31/2003	Consumer Products and Services	46
12/31/2002	Consumer Products and Services	71
12/31/2001	Consumer Products and Services	117
12/31/2000	Consumer Products and Services	285
12/31/1999	Consumer Products and Services	282
12/31/2015	Financial Services	94
12/31/2014	Financial Services	73
12/31/2013	Financial Services	63
12/31/2012	Financial Services	53
12/31/2011	Financial Services	65
12/31/2010	Financial Services	71
12/31/2009	Financial Services	50
12/31/2008	Financial Services	70
12/31/2007	Financial Services	85
12/31/2006	Financial Services	85
12/31/2005	Financial Services	59
12/31/2004	Financial Services	68
12/31/2003	Financial Services	63
12/31/2002	Financial Services	74
12/31/2001	Financial Services	134
12/31/2000	Financial Services	329
12/31/1999	Financial Services	184
12/31/2015	Industrial/Energy	273
12/31/2014	Industrial/Energy	244
12/31/2013	Industrial/Energy	249
12/31/2012	Industrial/Energy	270
12/31/2011	Industrial/Energy	335
12/31/2010	Industrial/Energy	299
12/31/2009	Industrial/Energy	265
12/31/2008	Industrial/Energy	359
12/31/2007	Industrial/Energy	308
12/31/2006	Industrial/Energy	221
12/31/2005	Industrial/Energy	157
12/31/2004	Industrial/Energy	158
12/31/2003	Industrial/Energy	139
12/31/2002	Industrial/Energy	128
12/31/2001	Industrial/Energy	199
12/31/2000	Industrial/Energy	253
12/31/1999	Industrial/Energy	204
12/31/2015	Retailing/Distribution	60
12/31/2014	Retailing/Distribution	63
12/31/2013	Retailing/Distribution	52
12/31/2012	Retailing/Distribution	62
12/31/2011	Retailing/Distribution	60
12/31/2010	Retailing/Distribution	30
12/31/2009	Retailing/Distribution	31
12/31/2008	Retailing/Distribution	41
12/31/2007	Retailing/Distribution	41
12/31/2006	Retailing/Distribution	42
12/31/2005	Retailing/Distribution	38
12/31/2004	Retailing/Distribution	37
12/31/2003	Retailing/Distribution	32
12/31/2002	Retailing/Distribution	49
12/31/2001	Retailing/Distribution	84
12/31/2000	Retailing/Distribution	280
12/31/1999	Retailing/Distribution	229
12/31/2015	Software	1816
12/31/2014	Software	1876
12/31/2013	Software	1690
12/31/2012	Software	1435
12/31/2011	Software	1288
12/31/2010	Software	1087
12/31/2009	Software	832
12/31/2008	Software	1125
12/31/2007	Software	1075
12/31/2006	Software	1053
12/31/2005	Software	960
12/31/2004	Software	964
12/31/2003	Software	978
12/31/2002	Software	1017
12/31/2001	Software	1317
12/31/2000	Software	2178
12/31/1999	Software	1419
12/31/2015	Telecommunications	59
12/31/2014	Telecommunications	37
12/31/2013	Telecommunications	62
12/31/2012	Telecommunications	95
12/31/2011	Telecommunications	113
12/31/2010	Telecommunications	109
12/31/2009	Telecommunications	124
12/31/2008	Telecommunications	213
12/31/2007	Telecommunications	276
12/31/2006	Telecommunications	300
12/31/2005	Telecommunications	230
12/31/2004	Telecommunications	227
12/31/2003	Telecommunications	211
12/31/2002	Telecommunications	273
12/31/2001	Telecommunications	475
12/31/2000	Telecommunications	850
12/31/1999	Telecommunications	519